Container Name,Type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Mode,Num Clients,Chunk Size (MB or MB/s),Interval (s),Duration (s)
ws-yaws,websocket,10,10,0,61.37469291687012,0.8146680272229346,305.5684794013191,4.978737405907692,39,195.66250000000002,353.43,7043.85,565.8083333333333,836.7,20369.1,streaming,10,5.0,0.0,60
ws-yaws,websocket,20,20,0,123.54808115959167,0.809401482090412,727.6427336332513,5.889551070350724,69,204.59268656716418,369.69,13707.71,532.9940298507463,893.9,35710.6,streaming,20,5.0,0.0,60
ws-yaws,websocket,50,50,0,309.4320602416992,0.8079317954471928,1849.9523640129355,5.978541339795,160,199.17345911949687,394.12,31668.58,545.0830188679245,959.6,86668.2,streaming,50,5.0,0.0,60
