Container Name,Type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Mode,Num Clients,Chunk Size (MB or MB/s),Interval (s),Duration (s)
ws-yaws,websocket,10,10,0,60.4834258556366,1.653345500611731,369.2470842925975,6.104930054291666,36,198.26742857142855,756.22,6939.36,4193.9728000000005,6778.88,146789.048,burst,10,10,1.0,60
ws-yaws,websocket,10,0,10,0.27056097984313965,1848.0122310685001,0.0011340578428282227,0.004191505528571429,7,1.2016666666666667,5.82,7.21,77.55,77.55,465.29999999999995,burst,10,50,1.0,60
ws-yaws,websocket,10,0,10,0.4886801242828369,2046.3283655490413,0.0022768132212875394,0.004659107477777778,9,1.3833333333333335,6.75,8.3,79.36,79.36,476.15999999999997,burst,10,100,1.0,60
ws-yaws,websocket,20,20,0,127.39029383659363,1.5699783239101752,925.0582584364075,7.261607070496284,70,223.06088235294118,763.83,15168.14,4336.361764705882,6630.4,294872.6,burst,20,10,1.0,60
ws-yaws,websocket,20,0,20,0.5273804664611816,1896.1642753099693,0.004804055619794879,0.009109278642857143,7,1.8083333333333333,9.54,10.85,80.04,80.04,480.24,burst,20,50,1.0,60
ws-yaws,websocket,20,0,20,0.9655482769012451,2071.3619897066596,0.007294774271753363,0.007555059074999999,8,1.6066666666666667,8.13,9.64,77.05,77.05,462.29999999999995,burst,20,100,1.0,60
ws-yaws,websocket,50,50,0,311.4290657043457,1.6055020390250716,2223.5509482593766,7.13983116261312,160,208.62364779874216,781.38,33171.16,4136.432679245283,6926.336,657692.796,burst,50,10,1.0,60
ws-yaws,websocket,50,0,50,1.2957377433776855,1929.40277674021,0.030455606667420407,0.023504452828571432,7,3.561666666666666,20.06,21.369999999999997,77.91666666666667,77.92,467.5,burst,50,50,1.0,60
ws-yaws,websocket,50,0,50,2.3966634273529053,2086.233695952234,0.06919500197622679,0.028871388942857148,7,1.6442857142857144,7.36,11.51,77.48285714285714,77.51,542.38,burst,50,100,1.0,60
