Total Requests,Successful Requests,Failed Requests,Execution Time (seconds),Requests Per Second,Total Energy Consumption (J),Average Power Consumption (W),Number of Samples,Average CPU Usage (% of System),Average CPU Usage (Cores),Average Memory Usage (MB)
1000,1000,0,0.9968681335449219,1003.1417058582673,0.0,0.0,0,0.0,0.0,0.0
1000,1000,0,0.7950785160064697,1257.73741821476,0.07012227894132711,0.08819541407499999,8,0.0,0.0,0.0
1000,1000,0,0.9353609085083008,1069.1060433504588,0.06006400027642848,0.06421478568333332,6,12.0,0.96,0.0
10000,10000,0,10.283772468566895,972.4058005528354,20.794025052039768,2.0220230577444447,9,13.678571428571429,1.0942857142857143,0.0
50000,50000,0,52.87060070037842,945.7051619926484,240.3772037904633,4.546519248999999,30,17.97142857142857,1.4377142857142857,0.0
90000,90000,0,96.32655143737793,934.3218319043547,466.65981093575704,4.844560549218182,55,19.4615234375,1.5569218749999996,0.0
90000,90000,0,96.66308355331421,931.068994404268,565.2676709788279,5.847813355416666,48,10.110429687500014,0.808834375,0.0
90000,90000,0,105.61482858657837,852.1530660462321,499.26801196815916,4.727252968638597,57,0.0,0.0,0.0
90000,90000,0,88.20231699943542,1020.3813580155279,409.95191454492385,4.647858792049056,53,2569.2157670454544,205.53726136363645,0.0
90000,90000,0,93.5420241355896,962.1344078415983,436.54826094196085,4.666867805951923,52,2651.547947198272,212.12383577586203,0.0
90000,90000,0,91.4333598613739,984.3234475518883,427.88506149445107,4.679747765401887,53,0.0,0.0,0.0
90000,90000,0,88.45639395713806,1017.4504744519644,429.24583431570414,4.852626419789361,47,0.0,0.0,0.0
90000,90000,0,114.83388638496399,783.7407827362737,554.4292565034693,4.8280979940435484,62,0.0,0.0,0.0
90000,90000,0,121.18061518669128,742.6930442740011,584.0955062880884,4.82004077457627,59,0.0,0.0,0.0
90000,90000,0,103.93055653572083,865.9628409578187,581.6681999703865,5.596700521568628,51,0.0,0.0,0.0
90000,90000,0,87.92723107337952,1023.5736858913555,423.5118739588006,4.816617887186275,51,2589.7405738636353,207.1792459090909,0.0
90000,90000,0,95.31184911727905,944.2687434303898,452.47394958716757,4.747300086796225,53,0.0,0.0,0.0
1000,1000,0,1.025937795639038,974.7179646277854,0.12338807422369968,0.12026857256666666,9,0.0,0.0,0.0
1000,1000,0,1.044238567352295,957.6355741538416,0.44925567367329833,0.430223215,2,0.0,0.0,0.0
1000,1000,0,1.0313043594360352,969.6458575496047,0.22551553185881928,0.21867020128,5,0.0,0.0,0.0
1000000,1000000,0,1143.803765296936,874.2758420107107,6276.516706873093,5.4874069287957665,567,0.0,0.0,0.0
10000,10000,0,8.744433164596558,1143.584702606778,0.0,0.0,0,0.0,0.0,0.0
10000,10000,0,8.353901624679565,1197.0454584307574,0.0,0.0,0,0.0,0.0,0.0
10000,10000,0,9.91841721534729,1008.2253834338077,12.957338710184157,1.306391778935714,14,0.0,0.0,0.0
10000,10000,0,9.476019859313965,1055.29538228764,15.938801355633494,1.6820143469800004,10,0.0,0.0,0.0
100000,100000,0,108.6099603176117,920.7258681208123,505.91167470965377,4.658059658895,60,0.0,0.0,0.0
100000,100000,0,114.80796456336975,871.0197100028169,650.1689937544876,5.663100083928571,56,18.13385135135135,1.450708108108108,82.06230996621622
100000,100000,0,167.66886281967163,596.4136591511943,1022.9141658810884,6.100799806707317,82,16.5953431372549,1.3276274509803923,95.47510723039215
100000,100000,0,133.43706583976746,749.4169582541705,695.4931552887319,5.212143649230769,65,16.309642857142858,1.3047714285714287,79.38971354166667
10000,10000,0,8.201028823852539,1219.3592066052965,19.47209679918848,2.3743480504,10,7.266379310344828,0.5813103448275863,82.3533135775862
50000,50000,0,68.6550965309143,728.2780525621399,320.31323306967874,4.665541951797369,38,15.048369565217392,1.2038695652173912,81.81596467391304
10000,10000,0,11.499819278717041,869.5788827314192,19.02913351003126,1.6547332656999996,12,5.442410714285714,16.4875,1219.1,85.97781808035714,89.26171875,2407.37890625
50000,50000,0,57.45679450035095,870.2191000177463,348.4655190295856,6.064827007142856,28,15.574019607843137,25.1375,12708.4,78.24391084558823,78.39453125,7980.87890625
