Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.09806561470031738,1019.7254185944174,0.00034394223543376924,0.0035072664,1,0.0,0.0,0.0,0.0,0.0,0.0
1000,1000,0,0.9497978687286377,1052.8555947788775,0.11424071410786509,0.120278975,2,0.0,0.0,0.0,0.0,0.0,0.0
5000,5000,0,4.292664051055908,1164.7778490306273,4.626789681670558,1.0778364266666667,3,0.0,0.0,0.0,0.0,0.0,0.0
8000,8000,0,6.492106914520264,1232.265596567299,7.095195659665973,1.0928956890400001,5,0.0,0.0,0.0,0.0,0.0,0.0
10000,10000,0,9.142401933670044,1093.8044588885941,8.405748720701137,0.9194245431,7,0.0,0.0,0.0,0.0,0.0,0.0
15000,15000,0,13.537527084350586,1108.0310241698453,16.025172576856956,1.1837592255222222,9,0.0,0.0,0.0,0.0,0.0,0.0
20000,19994,6,18.794897317886353,1064.1186095210426,23.12806063030012,1.2305499859416666,12,0.0,0.0,0.0,0.0,0.0,0.0
100,100,0,0.11321282386779785,883.2921623505578,0.0014160497265949844,0.01250785625,2,0.0,0.0,0.0,0.0,0.0,0.0
1000,1000,0,1.8130247592926025,551.5644476858525,0.5111820498637115,0.281949845,2,0.0,0.0,0.0,0.0,0.0,0.0
5000,4998,2,4.519286394119263,1106.369360991653,3.4662213745802855,0.7669842254499999,4,0.0,0.0,0.0,0.0,0.0,0.0
100,100,0,0.11454343795776367,873.0312428449514,0.0017511190035057068,0.015287816,1,0.0,0.0,0.0,0.0,0.0,0.0
1000,1000,0,0.9540760517120361,1048.1344733531,0.0784056307238562,0.08217964446666666,3,0.0,0.0,0.0,0.0,0.0,0.0
5000,5000,0,4.23724889755249,1180.0109271107694,4.103433328810294,0.9684192333333334,3,0.0,0.0,0.0,0.0,0.0,0.0
8000,8000,0,7.394319295883179,1081.9116242997563,5.618211637388392,0.7598010597833336,6,0.0,0.0,0.0,0.0,0.0,0.0
10000,10000,0,8.988864660263062,1112.4875474215169,7.782069845844659,0.8657455796666667,6,0.0,0.0,0.0,0.0,0.0,0.0
15000,14997,3,14.219284534454346,1054.9053972198055,15.48120181554423,1.0887468900444441,9,0.0,0.0,0.0,0.0,0.0,0.0
20000,19994,6,19.000389099121094,1052.610022650807,19.55609976311639,1.0292473307307692,13,0.0,0.0,0.0,0.0,0.0,0.0
