Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.11097383499145508,901.1133120496371,0.0,0.0,0,0.0,0.0,0.0,53.5703125,53.5703125,374.9921875
1000,1000,0,0.781639814376831,1279.3616466393264,0.0,0.0,0,0.22999999999999998,1.61,12.88,56.862723214285715,57.9375,398.0390625
5000,5000,0,3.763967514038086,1328.385535037699,0.04884155487146186,0.012976083,6,0.5606944444444445,1.7412500000000002,40.370000000000005,63.731770833333336,64.5546875,573.5859375
8000,8000,0,6.01059365272522,1330.9833374566551,0.20506636791620939,0.034117489846153835,13,0.624125,1.6524999999999999,49.93,72.25234375,74.11328125,722.5234375
10000,10000,0,7.458318471908569,1340.7847945437786,0.24732569888404166,0.033161053636363624,22,0.7267045454545454,1.8050000000000002,63.95,73.09232954545455,73.71875,804.015625
15000,15000,0,11.23945665359497,1334.5840873190439,0.41087093861814933,0.03655612110810812,37,0.8420192307692307,1.65375,87.57,82.45552884615384,82.9296875,1071.921875
20000,20000,0,14.93141770362854,1339.4575382577184,0.6236416493484845,0.04176707541956522,46,0.846875,1.59875,108.4,93.33935546875,95.59765625,1493.4296875
30000,30000,0,22.46112847328186,1335.6408176768962,0.9339279242525779,0.041579741879999986,75,1.0692499999999998,1.99375,171.07999999999998,109.294140625,112.890625,2185.8828125
40000,40000,0,31.30282163619995,1277.8400766831273,1.2634714190744516,0.04036286037592592,108,1.1413,1.76125,228.26,128.7103125,132.59375,3217.7578125
50000,50000,0,40.125919818878174,1246.0773541314893,1.4733790774663917,0.03671888604964032,139,1.2375833333333333,1.94,297.02,147.20442708333334,149.7265625,4416.1328125
60000,60000,0,48.734391927719116,1231.163406921945,1.7263998873109647,0.03542467278285715,175,1.3298571428571428,1.9887500000000002,372.36,162.46450892857143,167.08984375,5686.2578125
70000,70000,0,57.496814489364624,1217.4587517878601,2.019441158161342,0.03512266159605911,203,1.33646875,2.0700000000000003,427.67,178.17861328125,184.34765625,7127.14453125
80000,80000,0,66.31005358695984,1206.4535567760777,2.256867053424631,0.034035066047186154,231,1.3591111111111112,1.8449999999999995,489.28000000000003,194.73072916666666,202.5078125,8762.8828125
