Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.10772109031677246,928.3233181722608,0.001019150654712349,0.009461013174999998,4,8.2,8.2,65.6,93.63671875,93.63671875,468.18359375
1000,1000,0,0.8070547580718994,1239.0732970697775,0.21229124531109436,0.2630444132666666,3,14.524999999999999,17.275,232.39999999999998,94.94270833333333,95.4296875,569.65625
5000,5000,0,3.9441092014312744,1267.7133782668984,8.169869851463755,2.0714106618800003,5,16.341666666666665,20.125,784.4,93.18572443181819,93.44140625,1025.04296875
8000,8000,0,6.367721796035767,1256.3362936145247,18.43032319908572,2.894335492257143,7,17.37875,19.7,1390.3,94.83828125,95.3125,1422.57421875
10000,10000,0,9.50422477722168,1052.163667674035,24.8755982896271,2.6173200731999997,8,12.04,16.8375,1444.8,98.13712993421052,98.45703125,1864.60546875
15000,15000,0,14.964449167251587,1002.3756860243285,55.93902171539611,3.738127684499999,10,14.268478260869566,19.5625,2625.4,97.44574652777777,97.98046875,2631.03515625
20000,18216,1784,23.16913652420044,863.2173227133329,74.55883703950032,3.218023984692857,14,14.847767857142857,18.5625,3325.9,94.77197265625,95.3046875,3790.87890625
100,100,0,0.1491084098815918,670.6529838217094,0.0,0.0,0,8.675,8.675,69.4,94.484375,94.484375,472.421875
100,100,0,0.14487600326538086,690.2454357249355,0.002957620491696429,0.02041484045,4,9.6,9.6,76.8,91.496875,91.5546875,457.484375
1000,1000,0,0.9897313117980957,1010.3752281851613,0.1809163528170955,0.18279340126000002,5,16.1625,16.8125,258.6,95.44810267857143,95.63671875,668.13671875
5000,5000,0,4.652323246002197,1074.7318566689376,7.271217770592763,1.5629218749666667,6,14.421428571428573,17.425,807.6,97.44140625,97.72265625,1169.296875
8000,8000,0,7.2055182456970215,1110.260182156561,15.700955659546329,2.1790182363249997,8,15.551136363636363,18.4375,1368.5,97.1357421875,99.63671875,1554.171875
10000,10000,0,10.562273502349854,946.7658641650625,35.35652783896452,3.347435363333333,6,13.12578125,18.425,1680.1,96.75725446428571,97.54296875,2031.90234375
15000,15000,0,16.395586252212524,914.8803689758763,67.42524681839198,4.1124023124999995,8,14.705,19.4875,2941.0,96.16648706896552,96.64453125,2788.828125
100,100,0,0.1495964527130127,668.4650483781255,0.0,0.0,0,6.800000000000001,6.8,54.4,94.39453125,94.39453125,471.97265625
1000,1000,0,1.1273770332336426,887.0146991833881,0.590748733343892,0.5240028099999999,2,15.15625,16.95,242.5,97.51506696428571,97.71875,682.60546875
5000,5000,0,5.0117456912994385,997.6563672574549,13.133579219619241,2.6205597866666666,3,14.125,18.7625,904.0,96.53971354166667,97.265625,1158.4765625
8000,8000,0,7.994705677032471,1000.6622286274702,24.671630028308897,3.0859960359999996,5,15.929166666666667,19.1,1529.2,95.88671875,96.50390625,1630.07421875
10000,10000,0,10.959252834320068,912.4709641412719,40.08203201777447,3.6573690400000003,6,13.970588235294118,19.725,1900.0,98.43768601190476,98.74609375,2067.19140625
15000,15000,0,16.775641202926636,894.1536015555183,52.47620795344082,3.1281193558363634,11,14.3025,18.15,2860.5,98.37203663793103,99.078125,2852.7890625
20000,19551,449,22.819010972976685,876.4621754941489,95.87100897256012,4.201365654545455,11,14.751953125,20.75,3776.5,97.44839638157895,98.5078125,3703.0390625
