server_image,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
erlang23,100,100,0,0.15482687950134277,645.882680850212,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,1000,1000,0,0.9867584705352783,1013.4192204679415,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,5000,5000,0,4.787014484405518,1044.4923482659844,7.371604026379395,1.5399168,2,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,8000,7999,1,8.053730726242065,993.3284675055014,12.270540308392496,1.523584625,4,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,10000,9998,2,10.289988994598389,971.8183377309135,15.311882172077533,1.4880367879999998,5,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,15000,14998,2,15.219661474227905,985.5672562362923,20.161025644896327,1.32466978185,10,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,20000,19996,4,20.30855941772461,984.8064349923653,35.98795948188007,1.7720587040000002,10,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,30000,29987,13,31.69938063621521,946.3907306039368,66.84030131997666,2.1085680533333333,15,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,40000,39997,3,41.42138671875,965.6847143143426,93.1908717265935,2.2498250085,20,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,50000,49977,23,54.84665846824646,911.6325660741495,104.75890659949454,1.910032616848387,31,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,60000,59970,30,67.86701917648315,884.081851951895,155.04772842450467,2.284581381441176,34,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,70000,69987,13,80.26251935958862,872.1380858528632,180.72424877474714,2.251664291337209,43,0.0,0.0,0.0,0.0,0.0,0.0
erlang23,80000,79975,25,95.06724643707275,841.5095945053366,244.18133733490657,2.5685117270808506,47,0.0,0.0,0.0,0.0,0.0,0.0
