Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),source_file
100,100,0,0.1313035488128662,761.594038425572,0.0,0.0,0,0.0,0.0,0.0,59.12109375,59.12109375,413.84765625,nginx.csv
100,100,0,0.140061616897583,713.9714806599927,0.0,0.0,0,0.0,0.0,0.0,54.828125,54.828125,383.796875,nginx.csv
1000,1000,0,0.8274271488189697,1208.5656138154914,0.0,0.0,0,0.2033928571428571,1.42375,11.39,59.133370535714285,61.92578125,413.93359375,nginx.csv
5000,5000,0,3.8481624126434326,1299.3214588792086,0.079008662020061,0.02053153,3,0.5219444444444444,1.61375,37.58,65.57682291666667,67.68359375,590.19140625,nginx.csv
8000,8000,0,6.15330171585083,1300.1150227027058,0.2146450111586536,0.0348829004444444,9,0.626,1.7075,50.08,71.36328125,73.21484375,713.6328125,nginx.csv
10000,10000,0,7.786330223083496,1284.302067019174,0.282398349511171,0.0362684784,10,0.7204545454545456,1.7950000000000004,63.400000000000006,74.43892045454545,76.6484375,818.828125,nginx.csv
15000,15000,0,11.576832294464111,1295.6912235113575,0.3883458807293645,0.0335450899565217,23,0.7946428571428571,1.68125,89.0,84.259765625,86.296875,1179.63671875,nginx.csv
20000,20000,0,15.345454454421995,1303.3175432765847,0.5764985316709956,0.0375680325,34,0.891171875,1.7675,114.07,91.380126953125,93.53515625,1462.08203125,nginx.csv
100,100,0,0.1228680610656738,813.8811594540367,0.0,0.0,0,0.0,0.0,0.0,54.578125,54.578125,382.046875,nginx.csv
1000,1000,0,0.807436466217041,1238.4875365923806,0.0,0.0,0,0.2171428571428571,1.52,12.16,56.420200892857146,59.24609375,394.94140625,nginx.csv
5000,5000,0,3.943044185638428,1268.055787508361,0.0583839415657505,0.0148068189999999,5,0.5656944444444444,1.9575,40.73,65.16927083333333,67.2890625,586.5234375,nginx.csv
8000,8000,0,6.176457405090332,1295.24085981825,0.1925218480483937,0.0311702705,10,0.6194999999999999,1.56375,49.56,71.040625,72.34375,710.40625,nginx.csv
10000,10000,0,7.76535964012146,1287.770362667142,0.2739118196529788,0.0352735523333333,12,0.7720454545454545,1.925,67.94,74.2198153409091,75.91796875,816.41796875,nginx.csv
15000,15000,0,11.519510746002195,1302.1386351157053,0.4021279945767615,0.0349084265333333,15,0.8220192307692307,1.6149999999999998,85.49,83.5907451923077,85.97265625,1086.6796875,nginx.csv
20000,20000,0,15.394805192947388,1299.1395311167903,0.5971056451182306,0.0387861773913043,23,0.920234375,2.115,117.79,91.192626953125,94.01953125,1459.08203125,nginx.csv
100,100,0,0.1183276176452636,845.1112427513892,0.0015224890155419,0.01286672584,5,0.3875,6.2,49.6,78.64453125,78.64453125,1258.3125,yaws.csv
100,100,0,0.1362924575805664,733.7163169200843,0.0028604013385034,0.0209872313499999,4,0.815625,13.05,104.4,81.51171875,81.51171875,1304.1875,yaws.csv
1000,1000,0,0.8449516296386719,1183.4996997729108,0.3727152470631294,0.441108383,2,1.9448529411764703,17.175,264.5,80.11557904411765,80.2421875,1361.96484375,yaws.csv
5000,5000,0,4.059663057327271,1231.6293075050942,6.315523896017032,1.5556768645166663,6,4.441477272727273,19.6875,781.7,80.18412642045455,80.84375,1764.05078125,yaws.csv
8000,8000,0,6.652734994888306,1202.512952364235,13.472901942924516,2.0251673865375,8,5.364423076923076,18.2125,1115.8,81.4247295673077,82.0859375,2117.04296875,yaws.csv
10000,10000,0,8.095332145690918,1235.2797661703012,40.20983149751699,4.967039125,4,7.111607142857143,19.45,1593.0,79.79352678571429,80.63671875,2234.21875,yaws.csv
15000,15000,0,12.204507112503052,1229.054140550508,28.810060072562912,2.360608241446154,13,7.652142857142857,18.725,2142.6,83.23738839285714,84.1640625,2913.30859375,yaws.csv
20000,20000,0,16.93647813796997,1180.88305237214,44.50172918462218,2.6275668897687496,16,9.102678571428571,18.35,3058.5,84.31529017857143,85.14453125,3541.2421875,yaws.csv
100,100,0,0.1235322952270507,809.5049138057483,0.0,0.0,0,0.3578125,5.725,45.8,78.65234375,78.65234375,1258.4375,yaws.csv
1000,1000,0,0.8506214618682861,1175.6110618272223,0.1143649895372233,0.1344487467857142,7,1.842647058823529,15.2625,250.6,81.99379595588235,82.12109375,1393.89453125,yaws.csv
5000,5000,0,4.128803491592407,1211.004594958717,4.236167069215963,1.0260035571666666,9,4.794886363636364,18.675,843.9,81.88441051136364,82.21484375,1801.45703125,yaws.csv
8000,8000,0,6.600727796554565,1211.9875635798562,18.89367508466564,2.8623624041166678,6,6.351442307692308,19.0375,1321.1,80.36478365384616,80.87890625,2089.484375,yaws.csv
10000,10000,0,8.069663286209106,1239.2090779165223,35.203909362370524,4.3625004060000006,5,7.046875,18.6125,1578.5,82.09514508928571,82.66796875,2298.6640625,yaws.csv
15000,15000,0,12.167356491088867,1232.8068147740803,27.98974907102566,2.300396893238461,13,7.661428571428571,18.1125,2145.2,83.36863839285714,84.79296875,2917.90234375,yaws.csv
20000,20000,0,16.979607582092285,1177.8835231205933,49.73670835782242,2.929202463446667,15,9.55625,18.775,3210.9,81.44800967261905,83.2265625,3420.81640625,yaws.csv
