Total Clients,Successful Clients,Failed Clients,Execution Time (s),Throughput (MB/s),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),source_file
10,10,0,62.30401730537415,100.0,131.04836866239842,2.103369482903225,31,1.0732007575757576,21.2125,755.5333333333333,371.00199751420456,467.55078125,32648.17578125,nginx_websocket-burst.csv
10,10,0,61.89441633224487,100.0,171.13221087908332,2.7649054796875,32,1.3714488636363635,22.879166666666663,965.5,373.2954989346591,469.25390625,32850.00390625,nginx_websocket-burst.csv
10,10,0,62.64639306068421,100.0,157.27812228887564,2.510569477424242,33,1.158617424242424,14.983333333333334,815.6666666666666,373.72025923295456,476.4296875,32887.3828125,nginx_websocket-burst.csv
10,10,0,61.00026321411133,100.0,14.18087499492023,0.2324723574576271,59,1.1094742063492062,4.991666666666666,745.5666666666666,525.5523158482143,645.55859375,44146.39453125,nginx-tornado-burst.csv
10,10,0,60.70923900604248,100.0,7.961169398402036,0.1311360433559321,59,0.9077380952380952,5.8125,610.0,530.4044363839286,668.7421875,44553.97265625,nginx-tornado-burst.csv
10,10,0,60.95017838478088,100.0,8.375940302250157,0.1374227364745762,59,0.7900297619047618,4.491666666666666,530.9,521.4024832589286,655.203125,43797.80859375,nginx-tornado-burst.csv
10,10,0,62.618125915527344,100.0,421.0715088014888,6.724434860435134,37,25.204782608695652,98.575,23188.4,4062.524626358696,6895.20703125,467190.33203125,yaws_websocket-burst.csv
10,10,0,64.01655292510986,100.0,369.5129742835435,5.772147318144737,38,24.42318376068376,96.0125,22860.1,4013.40718482906,6512.125,469568.640625,yaws_websocket-burst.csv
10,0,10,0.1696770191192627,100.0,0.0070222961560876,0.041386253675,4,1.175347222222222,14.104166666666666,112.83333333333331,58.0546875,58.0546875,696.65625,nginx-java-websocket-burst.csv
10,0,10,0.1419360637664795,100.0,0.0005973325307908,0.004208462,1,1.4868055555555555,17.425,142.73333333333335,58.3828125,58.3828125,700.59375,nginx-java-websocket-burst.csv
10,0,10,0.1438167095184326,100.0,0.0005124358272867,0.0035631174499999,2,1.3080128205128203,17.004166666666666,136.03333333333333,58.234375,58.234375,757.046875,nginx-java-websocket-burst.csv
10,10,0,61.05025982856751,50.0,8.078294734345299,0.1323220369090909,11,0.4571924603174603,3.204166666666667,307.2333333333333,117.4096447172619,143.67578125,9862.41015625,nginx-tornado-streaming.csv
10,10,0,60.98666930198669,50.0,5.387124516919251,0.088332820575,40,0.7840361445783133,5.304166666666666,520.6,122.11535203313252,153.328125,10135.57421875,nginx-tornado-streaming.csv
10,10,0,61.01456451416016,50.0,3.9606466979037735,0.0649131355675675,37,0.5533234126984127,4.1125,371.8333333333333,117.24981398809524,145.69140625,9848.984375,nginx-tornado-streaming.csv
10,10,0,61.13490653038025,50.0,307.1169903843161,5.023594666521623,37,24.885730088495578,97.35,22496.7,473.3910398230088,799.44921875,53493.1875,yaws_websocket-streaming.csv
10,10,0,61.41922688484192,50.0,357.4764181471969,5.820268933333334,30,24.01050884955752,97.325,21705.5,472.4129217367257,817.05859375,53382.66015625,yaws_websocket-streaming.csv
10,10,0,61.24177384376526,50.0,138.7964235511967,2.2663684416666667,30,1.0165213178294574,2.0791666666666666,699.3666666666667,79.53865370639535,90.265625,6840.32421875,nginx_websocket-streaming.csv
10,10,0,61.12562823295593,50.0,80.89752476358696,1.3234632854042552,47,0.9585271317829458,2.083333333333333,659.4666666666667,76.82953306686046,88.34375,6607.33984375,nginx_websocket-streaming.csv
10,10,0,61.18037152290344,50.0,94.14562757157331,1.538820788891892,37,1.069767441860465,3.329166666666667,736.0,76.1124636627907,87.16796875,6545.671875,nginx_websocket-streaming.csv
10,0,10,0.0414931774139404,50.0,0.0006553288052798,0.01579365202,5,0.034375,0.4125,3.3000000000000003,55.65625,55.65625,667.875,nginx-java-websocket-streaming.csv
10,0,10,0.0468697547912597,50.0,0.0005021249417301,0.0107131975399999,5,0.034375,0.4125,3.3000000000000003,55.1572265625,56.6484375,661.88671875,nginx-java-websocket-streaming.csv
10,0,10,0.0536761283874511,50.0,0.000462986244616,0.00862555215,6,0.0,0.0,0.0,52.44921875,52.44921875,629.390625,nginx-java-websocket-streaming.csv
