Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg CPU (%) / CPU,Peak CPU (%) / CPU,Total CPU (%) / CPU,Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
st-nginx-deb,static,8,100,100,0,0.16737008094787598,597.47835117044,0.0,0.0,0,0.14,0.14,0.14,0.0175,0.0175,0.0175,6.681,6.707,20.043
st-nginx-deb,static,8,1000,1000,0,1.2420692443847656,805.1080924198636,0.0,0.0,0,1.13,2.01,2.26,0.14125,0.25125,0.2825,6.319,6.332,18.957
st-nginx-deb,static,8,5000,5000,0,5.242016315460205,953.8314455934772,0.1933246803065719,0.03687983185714286,7,5.4925,10.33,21.97,0.6865625,1.29125,2.74625,6.5194,6.758,32.597
st-nginx-deb,static,8,8000,8000,0,8.412154912948608,951.0048355963834,0.30427280489960573,0.0361706136,10,8.174,10.25,40.87,1.02175,1.28125,5.10875,6.458142857142858,6.633,45.207
st-nginx-deb,static,8,10000,10000,0,12.41509222984314,805.4712614991461,0.5304406099821853,0.04272546672727273,11,8.681428571428572,10.49,60.77,1.0851785714285715,1.31125,7.59625,6.448333333333333,6.66,58.035
st-nginx-deb,static,8,15000,15000,0,17.183768033981323,872.9168113964953,0.7620260846343813,0.044345692,8,9.502222222222223,11.14,85.52,1.1877777777777778,1.3925,10.69,6.436636363636364,6.688,70.803
st-nginx-deb,static,8,20000,20000,0,25.148897886276245,795.263477963939,1.164775283593403,0.04631516215384615,39,9.858461538461539,10.97,128.16,1.2323076923076923,1.37125,16.02,6.400866666666667,6.621,96.013
st-nginx-deb,static,8,30000,28230,1770,44.45164227485657,674.8907006517748,2.0975808247659202,0.04718792641666665,72,10.196842105263158,10.97,193.74,1.2746052631578948,1.37125,24.2175,6.442625,6.688,154.623
st-nginx-deb,static,8,40000,32001,7999,66.67329907417297,599.9403142703444,3.059596960832134,0.04588938905555553,54,9.83421052631579,10.97,186.85,1.2292763157894737,1.37125,23.35625,6.316028571428571,6.578,221.061
st-nginx-deb,static,8,50000,41302,8698,80.01644945144653,624.8715150794047,3.5197697389366738,0.04398807699000001,100,9.03103448275862,10.94,261.9,1.1288793103448276,1.3675,32.7375,6.4303333333333335,7.148,270.074
