server_image,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Throughput (MB/s),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
ws-yaws,websocket,10,10,0,65.15960574150085,1.5346931409732107,339.6223886530344,5.212161503867499,40,24.801458333333336,96.9625,23809.4,4238.04853515625,6900.69921875,508565.82421875
ws-yaws,websocket,10,0,10,0.27341175079345703,1828.7436386657505,0.0026569841478045622,0.009717885716666666,6,0.0765625,1.225,9.8,90.44921875,90.44921875,1447.1875
ws-yaws,websocket,10,0,10,0.49402809143066406,2024.1763926907145,0.005477120520314678,0.011086658057142854,7,0.06764705882352941,1.15,9.2,91.83203125,91.83203125,1561.14453125
ws-yaws,websocket,20,20,0,129.82048153877258,1.540588955066134,863.0283157955446,6.6478594561197175,71,27.4859865470852,95.5375,49035.0,4257.857763452915,6712.95703125,949502.28125
ws-yaws,websocket,20,0,20,0.531327486038208,1882.0784286098265,0.008449363413836453,0.015902364616666668,6,0.1389705882352941,1.2375,18.9,88.23920036764706,88.25390625,1500.06640625
ws-yaws,websocket,20,0,20,0.9767117500305176,2047.687047829116,0.010854176309806524,0.011112978122222224,9,0.0661764705882353,1.125,9.0,90.53125,90.53125,1539.03125
ws-yaws,websocket,50,50,0,328.2493314743042,1.5232323482710297,2021.4632518884687,6.1583164322353285,167,23.82167282809612,96.0125,103100.2,4392.228324283734,7415.0625,2376195.5234375
ws-yaws,websocket,50,0,50,1.3155226707458496,1900.3853415787949,0.020268468422154073,0.015407160114285716,7,0.33194444444444443,2.375,47.8,91.01974826388889,91.046875,1638.35546875
ws-yaws,websocket,50,0,50,2.428400993347168,2058.968026161235,0.0941814230653889,0.038783307749999996,8,0.1888888888888889,2.2875,27.200000000000003,92.98697916666667,93.0,1673.765625
