Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.14446449279785156,692.2116159015593,0.0,0.0,0,4.9375,4.9375,39.5,92.7734375,92.7734375,463.8671875
100,100,0,0.12711596488952637,786.6832469619985,0.0,0.0,0,8.6625,8.6625,69.3,94.25390625,94.25390625,471.26953125
1000,1000,0,0.888258695602417,1125.7981542435675,0.35957367088773845,0.40480737499999997,2,16.275000000000002,19.5625,260.4,91.29752604166667,91.38671875,547.78515625
5000,5000,0,4.560868501663208,1096.2824291418738,8.291353400615046,1.8179330093799997,5,13.860714285714284,17.8375,776.1999999999999,95.36555989583333,96.3984375,1144.38671875
8000,8000,0,6.45451283454895,1239.4428836175753,23.725122597995465,3.6757417958799996,5,15.882499999999999,20.0875,1270.6,96.76380208333333,97.59375,1451.45703125
10000,10000,0,10.188174962997437,981.5300616959494,24.51540467642802,2.4062606664555557,9,15.21,21.0625,1825.2,94.8296875,96.0859375,1896.59375
15000,15000,0,15.816895246505737,948.3529963514044,43.52245460793168,2.7516433490666663,12,14.552604166666667,20.0375,2794.1,95.81096540178571,96.484375,2682.70703125
20000,19121,879,21.947595834732056,911.2615409269572,70.08297651113618,3.1931960584142853,14,14.988333333333333,19.7625,3597.2,99.2321579391892,99.60546875,3671.58984375
100,100,0,0.1340484619140625,745.9988616960728,0.0022742742924245197,0.01696606033333333,3,8.6,8.6,68.8,91.4609375,91.4609375,457.3046875
1000,1000,0,0.9833278656005859,1016.9548072241716,0.20007681523434218,0.20346907906666664,3,18.175,18.1875,290.8,96.36941964285714,96.40234375,674.5859375
5000,5000,0,4.739697694778442,1054.9196007813587,6.168329203469934,1.3014182761624997,8,17.217857142857145,20.2375,964.2,96.75553385416667,97.73828125,1161.06640625
8000,8000,0,7.540710926055908,1060.9079274418384,14.541404169539256,1.92838636995,8,14.859375,19.8,1426.5,96.678955078125,97.37109375,1546.86328125
10000,10000,0,10.53473687171936,949.2406048455877,25.988808975490567,2.4669632751111106,9,15.94296875,20.1375,2040.7,94.8671875,95.44140625,1897.34375
15000,15000,0,16.197489261627197,926.0694517350835,47.33300983905502,2.9222436313749998,12,14.972395833333332,19.35,2874.7,95.07233297413794,97.8984375,2757.09765625
20000,19290,710,22.415871143341064,892.224971856214,86.16987853926092,3.844145872727273,11,13.11590909090909,19.2,3462.6,95.00287828947368,95.84765625,3610.109375
