Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.11047482490539551,905.1836025595373,0.0,0.0,0,2.0708333333333333,2.0708333333333333,16.566666666666666,41.34375,41.34375,165.375
100,100,0,0.11203670501708984,892.564628571915,0.0010265292514066696,0.009162436999999999,1,1.6166666666666667,1.6166666666666665,12.933333333333332,41.1328125,41.1328125,164.53125
1000,1000,0,0.8006742000579834,1248.9474494464562,0.004601203259229975,0.0057466610749999985,4,5.766666666666667,5.766666666666667,46.13333333333333,43.16640625,44.28515625,215.83203125
5000,5000,0,3.9351251125335693,1270.6076317814525,0.6715615830424732,0.170658254525,4,5.184166666666667,5.995833333333334,207.36666666666667,50.990234375,51.4765625,407.921875
8000,8000,0,6.26006555557251,1277.941888784001,1.1120722822164306,0.1776454691,7,5.239880952380952,5.879166666666666,293.43333333333334,57.96519886363637,59.1484375,637.6171875
10000,10000,0,9.484983682632446,1054.298070993056,2.008033523319369,0.2117065870125,8,4.9356060606060606,5.4125000000000005,434.3333333333333,62.20200892857143,63.171875,870.828125
15000,15000,0,14.622336864471436,1025.8278234887468,3.2618106243686578,0.22307040622857138,7,5.456770833333334,6.354166666666667,698.4666666666667,69.8064453125,70.51953125,1396.12890625
20000,19079,921,21.41043210029602,934.1240712149606,5.017347416223818,0.23434124975714282,14,4.8687499999999995,5.95,934.8,79.03255208333333,79.1484375,2133.87890625
