Total Clients,Successful Clients,Failed Clients,Execution Time (s),Throughput (MB/s),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
50,0,50,0.10407876968383789,500.0,0.00032306344132387643,0.0031040282500000003,2,0.0,0.0,0.0,0.0,0.0,0.0
50,0,50,0.13181567192077637,500.0,0.0006077394903272389,0.0046105252999999995,2,1.5890625,24.1875,203.4,95.136962890625,96.00390625,1522.19140625
50,0,50,33.23223924636841,250.0,184.13676050954905,5.5409074045370375,27,23.95978260869565,98.5625,13225.8,3978.0861073369565,6509.7265625,274487.94140625
5,5,0,30.21319031715393,5.0,11.720371856375658,0.38792235223571425,28,5.187890625,56.1875,2656.2,324.67901611328125,671.31640625,20779.45703125
5,5,0,30.743849277496338,5.0,20.40825058191363,0.663815724495238,21,6.8251953125,61.175,3494.5,318.829833984375,591.57421875,20405.109375
50,50,0,153.94817900657654,50.0,337.8507540122095,2.1945745392530873,81,19.05965250965251,98.6,39491.6,445.9699867277992,847.80078125,115506.2265625
5,5,0,30.194700479507446,5.0,54.301222927417776,1.7983693186250003,16,6.916923076923077,56.0375,3596.8,344.7299278846154,647.7421875,22407.4453125
5,0,5,4.033618688583374,50.0,11.945606788315017,2.9615111666666665,3,7.8835227272727275,61.125,1387.5,1906.5754616477273,5115.6796875,41944.66015625
