container_name,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlindex23,dynamic,100,100,0,0.14556550979614258,686.9759199143062,0.004927103457166624,0.0338480143,2,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,1000,1000,0,1.0104479789733887,989.6600525798431,0.2723868907954315,0.2695704246666667,3,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,5000,5000,0,4.925610780715942,1015.1025370448059,6.642298474804934,1.3485228067166666,6,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,8000,8000,0,7.967077732086182,1004.1322890300454,21.724293739030056,2.7267580999666667,6,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,10000,10000,0,9.96587324142456,1003.4243620953944,20.299467848520624,2.0368980576777775,9,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,15000,15000,0,15.105424880981445,993.0207272015115,48.14254599823547,3.1871030691,10,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,20000,20000,0,20.08596110343933,995.720339046927,70.5741263145036,3.513604649090909,11,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,30000,29998,2,31.742437839508057,945.1069937249955,138.7765986403202,4.371957798011111,18,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,40000,40000,0,43.20390462875366,925.8422437442991,248.60689107908706,5.754269046173913,23,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,50000,49999,1,53.65820503234863,931.8239395048114,308.4447799476734,5.748324599410714,28,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,60000,59999,1,67.23293805122375,892.4197237117157,420.01232132131656,6.247121329151428,35,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,70000,69999,1,84.3288984298706,830.0831779299623,486.5689825188501,5.7698961041627905,43,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlindex23,dynamic,80000,79994,6,104.12539768218994,768.3043885620957,633.655313498965,6.085501977461817,55,0.0,0.0,0.0,0.0,0.0,0.0
