container_name,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlang27,dynamic,100,100,0,0.13696694374084473,730.1031713842582,0.0029614198167371747,0.02162142,1,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,1000,1000,0,0.9512429237365723,1051.2561776248547,0.1435494727279043,0.15090726999999998,1,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,5000,5000,0,4.7815492153167725,1045.6861939187957,3.7785241695625107,0.7902301115,4,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,8000,8000,0,7.6771399974823,1042.0547238455442,5.746228756053695,0.7484856024428572,7,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,10000,10000,0,9.60756516456604,1040.846440145034,7.597583088863803,0.790791731175,8,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,15000,14994,6,14.476783990859985,1036.1417293696136,20.12902056863308,1.3904345455,8,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,20000,20000,0,19.469916343688965,1027.2257798623186,25.17633477452215,1.2930890061416664,12,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,30000,29984,16,29.95436692237854,1001.5234198652807,47.00692578333824,1.5692845689294117,17,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,40000,39984,16,39.66914129257202,1008.3404554938004,64.97304544219271,1.6378737558999998,24,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,50000,49979,21,49.66510343551636,1006.7430960839226,102.69665738636148,2.067783016292308,26,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,60000,59982,18,60.914491176605225,984.9872968001341,140.04697759750968,2.299074898146667,30,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,70000,69975,25,72.2407169342041,968.982631550502,179.03767699795446,2.478348562916667,36,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang27,dynamic,80000,79923,77,85.82574367523193,932.1212560968096,223.76441463470627,2.6071945904883718,43,0.0,0.0,0.0,0.0,0.0,0.0
