container_name,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-yaws-latest-deb,dynamic,100,100,0,0.1566777229309082,638.2528296259325,0.0028236865256927248,0.018022259149999997,4,9.05,9.05,72.4,94.92578125,94.92578125,474.62890625
dy-yaws-latest-deb,dynamic,1000,1000,0,1.0848643779754639,921.7742054229536,0.1895700395519537,0.17474077258,5,12.15625,15.1625,194.5,92.9296875,93.1640625,650.5078125
dy-yaws-latest-deb,dynamic,5000,5000,0,4.948220491409302,1010.4642686558923,6.644711671287843,1.3428487438714285,7,16.7828125,20.05,1074.1,93.34114583333333,94.58984375,1120.09375
dy-yaws-latest-deb,dynamic,8000,8000,0,7.75940203666687,1031.0072815142444,14.30426234462656,1.8434748292499998,8,15.495833333333332,18.325,1487.6,94.15946691176471,94.97265625,1600.7109375
dy-yaws-latest-deb,dynamic,10000,10000,0,10.745469808578491,930.6247356459597,23.625953924853054,2.19868971257,10,14.86640625,20.5125,1902.9,94.39564732142857,94.734375,1982.30859375
dy-yaws-latest-deb,dynamic,15000,15000,0,15.703965663909912,955.1727455996843,41.009140763755205,2.611387571866666,12,16.386956521739133,20.6125,3015.2,96.39620535714286,97.10546875,2699.09375
dy-yaws-latest-deb,dynamic,20000,20000,0,21.726166248321533,920.5489717517517,64.74963376694821,2.9802604392733336,15,14.913281249999999,18.0875,3817.7999999999997,96.53167229729729,97.2109375,3571.671875
dy-yaws-latest-deb,dynamic,30000,28231,1769,36.67826557159424,817.9230814892657,118.45983489723626,3.2297011063952374,21,15.15345744680851,19.825,5697.7,96.32289459745763,98.1484375,5683.05078125
dy-yaws-latest-deb,dynamic,40000,29496,10504,63.81329298019409,626.8286454424929,188.27869462214514,2.950461977892,25,15.660539215686274,22.8375,6389.5,94.17570465686275,95.12890625,9605.921875
dy-yaws-latest-deb,dynamic,50000,39427,10573,74.09457659721375,674.8132224549374,238.9454658974895,3.224871196665625,32,17.493653846153848,26.525,9096.7,93.77731036324786,94.53125,10971.9453125
dy-yaws-latest-deb,dynamic,60000,49582,10418,87.26483249664307,687.5621975474266,311.15063641555906,3.565590255702703,37,17.517168674698794,25.975,11631.4,97.90952435661765,98.828125,13315.6953125
dy-yaws-latest-deb,dynamic,70000,56463,13537,107.20093393325806,652.9793858286823,375.66016621088096,3.504262065895454,44,17.094260204081632,25.8875,13401.9,96.609375,97.14453125,16037.15625
dy-yaws-latest-deb,dynamic,80000,60408,19592,129.14796662330627,619.4445184982344,435.94903521092294,3.3755780025749997,52,17.954090909090908,27.8625,15799.6,97.1434908919598,97.7265625,19331.5546875
