container_name,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlang23,dynamic,100,100,0,0.10709309577941895,933.7670115165156,0.0013622939494661091,0.0127206515,2,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,1000,1000,0,0.9645311832427979,1036.7731156580696,0.13875105635690807,0.14385336499999998,2,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,5000,4999,1,4.748226642608643,1053.0247135071536,2.8543980195765655,0.60115033136,5,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,8000,7999,1,7.6917853355407715,1040.070627430941,5.4995957678788345,0.7149960026142858,7,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,10000,9999,1,9.666214942932129,1034.5311023020372,6.987972840945455,0.7229275246000001,8,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,15000,14996,4,14.593295097351074,1027.86929887567,15.85258084332661,1.08629207712,10,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,20000,19991,9,19.429798364639282,1029.3467603039278,24.713282343411283,1.2719268558333332,12,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,30000,29991,9,29.322561740875244,1023.1029698261464,48.334029229631746,1.6483562949500001,16,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,40000,39968,32,39.842328786849976,1003.9573794492169,67.07978013316476,1.6836310069130433,23,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,50000,49985,15,49.69030499458313,1006.2325036131421,99.9201342498547,2.010857736951851,27,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,60000,59948,52,60.11031413078308,998.1648052854446,129.6556664585241,2.156962051078788,33,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,70000,69979,21,72.27987670898438,968.4576563659109,165.2943371196588,2.286865233392308,39,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang23,dynamic,80000,79983,17,84.7363555431366,944.1047999671703,218.4733351830593,2.5782715551395343,43,0.0,0.0,0.0,0.0,0.0,0.0
