container_name,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlang26,dynamic,100,100,0,0.1201009750366211,832.6327073490293,0.001634764510192871,0.013611584,2,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,1000,1000,0,1.9871442317962646,503.23473454971975,0.1641120579124897,0.08258688789999999,3,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,5000,5000,0,4.9154441356658936,1017.202080219075,4.0767325815996065,0.8293721725,4,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,8000,8000,0,7.709890127182007,1037.6282758939951,8.073827758386823,1.0472039970999998,5,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,10000,10000,0,10.143129825592041,985.8889881079002,16.306285184149502,1.6076187,5,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,15000,14998,2,14.561040163040161,1030.1461868139088,16.058703394626438,1.1028541378099999,10,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,20000,19995,5,19.22019600868225,1040.5721144032814,28.61967569794367,1.4890418227272726,11,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,30000,29993,7,29.5143563747406,1016.454488083468,47.06411539837148,1.594617710811765,17,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,40000,39986,14,39.4201922416687,1014.7083949965728,69.04730841421956,1.7515720874956522,23,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,50000,49984,16,49.77993083000183,1004.4208412171103,102.32278689279322,2.0555027937307693,26,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,60000,59973,27,59.75318670272827,1004.1305461832458,137.6624642711126,2.3038514239580645,31,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,70000,69965,35,71.34194588661194,981.18994555118,168.1155055330304,2.356474910289474,38,0.0,0.0,0.0,0.0,0.0,0.0
dy-erlang26,dynamic,80000,79963,37,84.04468631744385,951.8745741739492,211.45570967892056,2.5159914200909093,44,0.0,0.0,0.0,0.0,0.0,0.0
