Total Clients,Successful Clients,Failed Clients,Execution Time (s),Throughput (MB/s),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
10,0,10,1.9349699020385742,100.0,1.4262139738567827,0.73707295,2,1.415,20.808333333333334,169.8,78.09192708333333,149.484375,1171.37890625
10,0,10,1.873868465423584,100.0,1.273585589700923,0.67965581,2,1.7194444444444446,25.791666666666668,206.33333333333334,82.57109375,159.2421875,1238.56640625
10,0,10,1.8594937324523926,100.0,1.230848196689086,0.66192651,2,1.5802777777777777,23.704166666666666,189.63333333333333,83.60911458333334,149.30078125,1254.13671875
10,0,10,1.8470568656921387,100.0,1.2303579914962341,0.6661180900000001,2,1.036388888888889,15.545833333333334,124.36666666666667,84.24609375,151.25,1263.69140625
10,0,10,1.8054094314575195,100.0,1.202699102498212,0.6661641850000001,2,1.6366666666666667,23.3,196.4,75.95416666666667,147.62109375,1139.3125
10,0,10,1.873333215713501,100.0,1.3743255509443912,0.7336257849999999,2,1.4702777777777776,22.054166666666664,176.4333333333333,82.13854166666667,157.046875,1232.078125
10,0,10,1.9078683853149414,100.0,1.790646662279129,0.9385588,1,1.4980555555555555,22.054166666666664,179.76666666666665,83.57578125,147.63671875,1253.63671875
10,0,10,2.031728982925415,100.0,1.7498419667329146,0.86125757,2,1.7319444444444445,24.729166666666668,207.83333333333334,82.03567708333334,155.60546875,1230.53515625
10,0,10,1.8968241214752197,100.0,1.41466487827924,0.7458070899999999,2,1.6963888888888892,25.02916666666667,203.5666666666667,82.7453125,158.13671875,1241.1796875
10,0,10,1.8489398956298828,100.0,1.8721190196950528,1.0125364399999999,1,1.9315476190476188,26.208333333333332,216.33333333333331,82.41127232142857,154.9921875,1153.7578125
