Total Requests,Successful Requests,Failed Requests,Execution Time (seconds),Requests Per Second,Total Energy Consumption (J),Average Power Consumption (W),Number of Samples,Average CPU Usage (% of System),Average CPU Usage (Cores),Average Memory Usage (MB)
50000,39208,10792,72.72938084602356,687.4800722675714,258.10957740972236,3.548903818611765,34,11.024181034482757,0.881934482758621,79.63448275862066
10000,10000,0,8.931173324584961,1119.6737132480528,12.173892848111189,1.3630787809928568,14,15.2753125,1.222025,79.8925
10000,10000,0,8.69434404373169,1150.1730262456822,13.039898933617485,1.4998140018416668,12,15.850000000000001,1.2679999999999998,83.2575
10000,10000,0,8.393346548080444,1191.4198874925517,26.160202730258288,3.116778579366667,6,15.00125,1.2001,82.075
50000,40026,9974,74.08632397651672,674.8883912211462,335.19053217419156,4.524323980231999,25,11.541208333333334,0.9232966666666672,83.99900000000001
50000,39313,10687,73.6761212348938,678.645932521207,248.691187580171,3.375465258103031,33,10.935215517241375,0.8748172413793109,86.49448275862072
50000,39396,10604,73.38201451301575,681.3658678058166,304.9467467755692,4.1556060950259255,27,12.183965517241377,0.9747172413793108,79.87275862068964
50000,39710,10290,73.53655290603638,679.9339651382498,275.8323556739801,3.750955746136666,30,11.239525862068964,0.8991620689655176,83.8348275862069
