container_name,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-apache-deb,dynamic,100,100,0,0.1117088794708252,895.1839860332393,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
dy-apache-deb,dynamic,1000,1000,0,0.9620943069458008,1039.3991449492432,0.007242811422908783,0.007528172,2,0.0,0.0,0.0,0.0,0.0,0.0
dy-apache-deb,dynamic,5000,5000,0,3.85067081451416,1298.4750556068634,0.35049398757013317,0.09102153999999998,6,0.0,0.0,0.0,0.0,0.0,0.0
dy-apache-deb,dynamic,8000,8000,0,6.5617516040802,1219.1866566581816,0.7600578283940883,0.11583154533333331,12,0.0,0.0,0.0,0.0,0.0,0.0
dy-apache-deb,dynamic,10000,10000,0,9.727427005767822,1028.0210783458522,0.6225791664017609,0.0640024506,25,0.0,0.0,0.0,0.0,0.0,0.0
