Total Requests,Successful Requests,Failed Requests,Execution Time (seconds),Requests Per Second,Total Energy Consumption (J),Average Power Consumption (W),Number of Samples,Average CPU Usage (% of System),Average CPU Usage (Cores),Average Memory Usage (MB)
50000,50000,0,67.95652770996094,735.7644906961763,2.735969594807642,0.04026058550967737,155,1.1718478260869567,0.09374782608695649,6.649304347826086
5000,5000,0,5.481460332870483,912.165681472996,0.185876714004636,0.0339100719,6,0.9104166666666668,0.07283333333333333,6.415333333333334
5000,5000,0,5.512157678604126,907.0858076879574,0.21727883360349917,0.03941810925454547,11,1.1104166666666666,0.08883333333333333,6.549666666666667
