server_image,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Throughput (MB/s),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
ws-yaws,websocket,10,10,0,62.789175033569336,0.7963156065240261,309.9822605406327,4.936874236282052,39,24.406089743589742,93.625,22844.1,476.1915064102564,813.28515625,55714.40625
ws-yaws,websocket,20,20,0,121.13973140716553,0.8254929975359423,679.9526784293568,5.612961746992424,66,27.639523809523812,96.075,46434.4,510.13260788690474,815.4296875,107127.84765625
ws-yaws,websocket,50,50,0,304.00501346588135,0.8223548590525388,1684.8782306665562,5.542271199601947,154,24.992255976095617,99.9,100368.9,516.8446448580677,900.4921875,259456.01171875
ws-yaws,websocket,10,10,0,68.63207244873047,1.4570447377164955,416.3953181385577,6.067066071035715,42,27.51230158730159,96.125,27732.4,507.93973214285717,822.77734375,64000.40625
ws-yaws,websocket,20,20,0,125.90933752059937,1.5884445422268945,854.8800047011671,6.789647388632353,68,25.692603211009175,96.1,44807.9,527.2489428038991,871.9921875,114940.26953125
ws-yaws,websocket,50,50,0,301.5780792236328,1.6579454358459158,1935.002785983019,6.416258074739355,155,25.967284569138275,96.1125,103661.4,533.2479411948898,873.10546875,266090.72265625
ws-yaws,websocket,10,10,0,64.65452551841736,3.0933642834178467,424.0352668906206,6.558477747545,40,29.751354166666665,93.6125,28561.3,496.51018880208335,783.1796875,59581.22265625
ws-yaws,websocket,20,20,0,142.3529679775238,2.8099168263436294,1039.5511884487616,7.302630940669231,78,32.28150614754098,98.5875,63013.5,524.1755090932377,827.87109375,127898.82421875
ws-yaws,websocket,50,50,0,365.31035470962524,2.737398453418796,2722.8917837577906,7.453639757685323,184,29.70037437603993,98.5875,142799.4,552.8302048668885,906.05078125,332250.953125
