server_image,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Throughput (MB/s),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
ws-nginx,websocket,10,10,0,62.21735620498657,1.607268551729063,109.83414228266255,1.7653296279705888,34,1.380445075757576,21.212500000000002,971.8333333333334,374.861328125,473.63671875,32987.796875
ws-nginx,websocket,10,10,0,69.73473024368286,7.170028452863974,136.92205737181064,1.9634700943611114,36,1.235671768707483,31.629166666666666,968.7666666666667,837.8166454081633,1117.5703125,82106.03125
ws-nginx,websocket,10,10,0,79.95131087303162,12.507612309047332,149.6414464986955,1.8716571981707317,41,1.0571212121212121,27.650000000000002,930.2666666666668,1373.6605113636363,2098.58203125,151102.65625
ws-nginx,websocket,20,20,0,124.60874032974243,1.6050238488147424,226.04052200956193,1.8140021431194027,67,1.2679115853658536,21.962500000000002,1663.5,410.3909108231707,551.14453125,67304.109375
ws-nginx,websocket,20,20,0,139.65212535858154,7.160650061231242,267.5708790063958,1.9159814311408452,71,1.1921903460837888,32.3375,1745.3666666666668,891.3483393101093,1323.0390625,163116.74609375
ws-nginx,websocket,20,18,2,156.1940574645996,12.804584453882232,332.4276030205666,2.1282986588392405,79,1.24371921182266,31.208333333333332,2019.8000000000002,1498.3262007389162,2509.9453125,304160.21875
ws-nginx,websocket,50,50,0,308.67526173591614,1.6198253050410296,482.7174864251794,1.5638359993946105,167,1.0745274914089347,13.729166666666666,3335.3333333333335,513.8062681217783,648.296875,199356.83203125
ws-nginx,websocket,50,38,12,275.389705657959,9.078044489814966,561.3096171746772,2.0382374709090905,143,1.2487547892720305,33.295833333333334,3476.5333333333333,897.9231995330459,1348.68359375,312477.2734375
ws-nginx,websocket,50,40,10,321.30614280700684,15.561482753858396,613.8757104481538,1.910563256230303,165,1.2442307692307693,44.19166666666666,4011.4,2491.456595068238,3441.85546875,1004057.0078125
