server_image,type,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Throughput (MB/s),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
ws-nginx,websocket,10,10,0,61.034873723983765,0.8192037920175529,71.81517442394777,1.17662526425,44,1.0503875968992247,3.329166666666667,722.6666666666666,75.9915515988372,88.87109375,6535.2734375
ws-nginx,websocket,20,20,0,121.25415110588074,0.8247140331936238,178.28141140236463,1.4703118184109585,73,1.1127096436058699,2.0791666666666666,1415.3666666666666,83.51422464622641,97.33984375,13278.76171875
ws-nginx,websocket,50,50,0,303.32669854164124,0.824193851718198,520.0702592702764,1.714554840608204,195,1.1776644736842106,3.329166666666667,3580.1,83.46588199013158,99.078125,31717.03515625
ws-nginx,websocket,10,10,0,61.44035363197327,1.6275947986725205,117.32835616096907,1.9096302222439023,41,1.2011494252873562,2.9125,836.0,76.9903915229885,88.28125,6698.1640625
ws-nginx,websocket,20,20,0,121.81869387626648,1.641784143599042,257.63522018426175,2.114907096655844,77,1.3962215320910973,4.579166666666667,1798.3333333333333,79.52989130434783,98.671875,12804.3125
ws-nginx,websocket,50,50,0,306.10519671440125,1.6334253889407315,514.6958105881517,1.6814344091922337,206,1.2176406926406926,2.495833333333333,3750.3333333333335,82.9885551948052,99.59765625,31950.59375
ws-nginx,websocket,10,10,0,62.75679087638855,3.1869061054115733,99.27489935440309,1.5818989143333333,51,1.2681647940074907,2.495833333333333,902.9333333333334,78.42951193820225,90.03515625,6980.2265625
ws-nginx,websocket,20,20,0,123.23776412010193,3.2457583343542176,211.38474846250662,1.715259522693877,98,1.361733128834356,4.1625000000000005,1775.7,79.11793040644172,97.6796875,12896.22265625
ws-nginx,websocket,50,50,0,305.2184247970581,3.27634218237286,558.3784109899127,1.8294387416525804,213,1.3293951261966928,3.329166666666667,4073.266666666667,83.7824024967363,100.125,32088.66015625
