Total Clients,Successful Clients,Failed Clients,Execution Time (s),Throughput (MB/s),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
10,10,0,61.00026321411133,100.0,14.18087499492023,0.23247235745762712,59,1.1094742063492062,4.991666666666666,745.5666666666666,525.5523158482143,645.55859375,44146.39453125
10,10,0,60.70923900604248,100.0,7.961169398402036,0.13113604335593218,59,0.9077380952380952,5.8125,610.0,530.4044363839286,668.7421875,44553.97265625
10,10,0,60.950178384780884,100.0,8.375940302250157,0.13742273647457626,59,0.7900297619047618,4.491666666666666,530.9,521.4024832589286,655.203125,43797.80859375
