Total Clients,Successful Clients,Failed Clients,Execution Time (s),Throughput (MB/s),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
10,10,0,61.050259828567505,50.0,8.078294734345299,0.1323220369090909,11,0.45719246031746036,3.204166666666667,307.23333333333335,117.4096447172619,143.67578125,9862.41015625
10,10,0,60.986669301986694,50.0,5.387124516919251,0.088332820575,40,0.7840361445783133,5.304166666666666,520.6,122.11535203313252,153.328125,10135.57421875
10,10,0,61.014564514160156,50.0,3.9606466979037735,0.06491313556756753,37,0.5533234126984127,4.1125,371.8333333333333,117.24981398809524,145.69140625,9848.984375
