Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.10592913627624512,944.0273329447061,0.0,0.0,0,0.0,0.0,0.0,51.29296875,51.29296875,102.5859375
1000,1000,0,0.8961164951324463,1115.9263393005613,0.0,0.0,0,0.8593750000000001,0.859375,6.875,53.647135416666664,55.83203125,160.94140625
5000,5000,0,3.748595714569092,1333.8328218664037,0.0685626119283012,0.01829021242857143,7,1.2380208333333331,1.2645833333333332,19.80833333333333,61.576171875,63.1796875,246.3046875
8000,8000,0,5.987092971801758,1336.207745174279,0.27202168323952675,0.045434685,13,1.3642361111111112,1.4739583333333333,32.74166666666667,64.9015625,65.3515625,324.5078125
10000,10000,0,9.104549646377563,1098.3519655998264,0.39997961416379696,0.04393183954166665,24,1.3016666666666665,1.4854166666666666,52.06666666666666,72.16341145833333,72.6796875,432.98046875
15000,15000,0,14.193921566009521,1056.7903965258488,0.6604896935282915,0.04653327767499997,40,1.253125,1.4385416666666666,70.175,81.72829861111111,82.3984375,735.5546875
20000,18498,1502,21.079423666000366,948.7925437097505,0.9468398216091051,0.044917728141509454,53,1.147348484848485,1.5250000000000001,100.96666666666667,89.53743489583333,90.0859375,1074.44921875
30000,28231,1769,32.731377363204956,916.5517132720654,1.4056635608131105,0.04294544483157895,95,1.2358723958333333,1.5166666666666666,158.19166666666666,106.76041666666667,108.73046875,1921.6875
40000,28809,11191,61.61119270324707,649.2326839485432,2.6926994708926433,0.04370471261386133,101,0.8529356060606061,1.6114583333333334,225.175,124.74482996323529,127.76953125,4241.32421875
50000,37718,12282,70.73351955413818,706.8784405918171,3.2730615848580236,0.04627313338130842,107,0.9326576576576576,1.4739583333333333,276.06666666666666,142.43219150641025,143.8046875,5554.85546875
60000,48054,11946,84.951815366745,706.282729109135,3.599622600563071,0.04237252123481012,158,0.969767441860465,1.6312499999999999,333.59999999999997,161.65208333333334,164.078125,7274.34375
70000,56463,13537,98.59780836105347,709.9549286498166,4.316377819973926,0.043777624388646276,229,0.8796875,1.5822916666666667,351.875,180.6512169471154,184.15625,9393.86328125
80000,57566,22434,125.49559116363525,637.4725937239263,5.693881347653211,0.045371166388059714,201,0.869113005050505,1.522916666666667,458.89166666666665,194.59299207089552,200.37109375,13037.73046875
