Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.10410523414611816,960.5664962017547,0.000574850207854867,0.0055218185,3,0.0,0.0,0.0,91.25390625,91.25390625,456.26953125
1000,1000,0,0.8094601631164551,1235.3912466179418,0.05616323085495976,0.06938356377999999,5,0.0,0.0,0.0,88.4796875,88.48828125,442.3984375
5000,5000,0,3.8155791759490967,1310.417047958725,5.647850485770019,1.4802079121749998,4,0.0,0.0,0.0,91.6234375,91.8203125,458.1171875
8000,8000,0,6.120439529418945,1307.0956687908808,9.974510944386083,1.6297050067142858,7,6.1125,10.975,97.8,87.57486979166667,87.94921875,525.44921875
10000,10000,0,11.375304937362671,879.0973125612287,25.164268755711284,2.2121841035714285,7,9.029166666666667,9.8625,216.7,87.611328125,87.78515625,700.890625
15000,15000,0,12.574703454971313,1192.8710727623452,26.010396420210192,2.068469965383333,12,11.831249999999999,13.325,378.6,92.67795138888889,92.6875,834.1015625
20000,15289,4711,29.870522499084473,669.5564163838445,50.41473634007947,1.6877755098399996,15,10.68125,12.3875,512.7,92.74259159482759,92.95703125,2689.53515625
30000,26324,3676,38.245904207229614,784.3977184445572,77.43644713634298,2.0246990819399997,20,10.6,12.1125,848.0,92.407470703125,92.5234375,2957.0390625
40000,29062,10938,63.31745529174805,631.7373276562026,115.23776383653099,1.819999924279167,24,8.160714285714286,12.65,914.0,90.6561279296875,90.65625,5801.9921875
50000,38454,11546,72.1147027015686,693.3398894662909,149.40294272181035,2.0717403958535714,28,8.984558823529412,14.5125,1221.9,87.54124540441177,88.015625,5952.8046875
60000,46288,13712,91.77669405937195,653.7607462869054,207.87847711394792,2.2650464722499994,32,9.30625,14.2875,1637.9,91.04808407738095,91.06640625,7648.0390625
70000,56463,13537,102.4051103591919,683.559636374307,207.7664029470779,2.0288675264186047,43,8.911458333333334,13.5,1711.0,89.23947975852273,89.4921875,7853.07421875
80000,59372,20628,127.34741282463074,628.2027897195483,214.29177701982158,1.6827336517226412,53,9.523295454545455,14.9875,1676.1,91.96145402892562,92.40625,11127.3359375
