Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.1240241527557373,806.2945626159421,0.0012688689908570288,0.010230821679999998,5,11.2125,11.2125,89.7,68.73046875,68.73046875,343.65234375
1000,1000,0,0.8397135734558105,1190.882262251087,0.11330297740344637,0.13493050605,4,9.46875,10.8375,151.5,70.36263020833333,70.56640625,422.17578125
5000,5000,0,3.8710079193115234,1291.6532603966548,6.586451427519683,1.70148229216,5,11.729166666666666,14.475,563.0,68.57208806818181,68.875,754.29296875
8000,8000,0,6.154518365859985,1299.858010722199,12.690685623583015,2.0620111711714286,7,12.377500000000001,16.9625,990.1999999999999,68.96456473214286,69.44140625,965.50390625
10000,10000,0,9.34043836593628,1070.613563113813,20.180610520138693,2.160563533477778,9,12.532142857142857,19.3,1403.6,68.32730263157895,68.65625,1298.21875
15000,15000,0,14.621119737625122,1025.9132179459477,36.43573145710696,2.4919932338249997,12,10.821739130434782,18.0,1991.2,72.79861111111111,72.87109375,1965.5625
20000,18592,1408,21.339812755584717,937.2153462202201,54.956190486614894,2.575289254692857,14,11.3,18.1375,2350.4,69.45449746621621,69.625,2569.81640625
30000,28231,1769,34.571258306503296,867.7728688387549,95.94897204922526,2.7753971579095236,21,12.297554347826088,25.4875,4525.5,69.6982421875,69.87109375,3903.1015625
40000,29230,10770,62.444905042648315,640.5646701309097,144.1660165423848,2.3086914207639997,25,11.526358695652174,23.075,4241.7,72.7133984375,73.234375,7271.33984375
50000,38153,11847,72.04803276062012,693.9814743606561,191.83880960100697,2.66265159853,30,13.888559322033897,25.6375,6555.4,69.13778097587719,69.53515625,7881.70703125
60000,48597,11403,87.28296422958374,687.4193667641682,297.3338693645433,3.4065510032685715,35,16.041975308641977,24.9375,10395.2,68.74994297445255,69.453125,9418.7421875
70000,56463,13537,102.52411389350891,682.7662033998023,367.3484582922937,3.5830444598999995,42,16.70132978723404,28.0375,12559.4,71.690625,71.9375,11470.5
80000,58780,21220,127.14532041549683,629.2012929659453,380.94008425963744,2.996099919484,50,15.659469696969696,26.7,12402.3,73.69107086489899,75.1484375,14590.83203125
